 Short & Long Lengths, ," Style & Co. Curvy-Fit Skinny Jeans, Only at Macy's", Deal of the Day, , select colors, Reg. CAD 67.50, Was CAD 41.31,-67.5, , Sale CAD 23.62,-31.67, ,-631
 , ," Style & Co. Peasant Top & Chino Boyfriend Pants, Only at Macy's", Special Savings, , select colors, Reg. CAD 61.30,-95.74, Was CAD 46.82,-95.74, Sale CAD 30.29,-67.02, ,-26
 , ," Alfani High-Low Jersey Tunic Top & Wide-Leg Pants, Only at Macy's", , , , Orig. CAD 81.96, Was CAD 49.18,-81.96, , Sale CAD 35.80,-61.98, ,-258
 Extended Sizes, , Bali Comfort-U Double Support Wireless Bra 3820, Deal of the Day, , , Reg. CAD 53.72, , , , Sale CAD 20.65, , ,-1232
 , , Adrianna Papell Short Bridesmaids Dresses Collection, , , , CAD 205.25,-260.36, , , , , ,-343
 ," NEW!  Charter Club Lexington Straight-Leg Jeans, Only at Macy's",, Deal of the Day, , select colors, Reg. CAD 81.96, , , , Sale CAD 41.31, , , 
 , , Adrianna Papell Long Bridesmaids Dresses Collection, , , , CAD 246.58,-411.88, , , , , ,-238
 , ," Alfani Faux-Leather Jacket, Asymmetrical Top & Capri Pants, Only at Macy's", Deal of the Day, , , CAD 41.31,-82.64, , , SELECT ITEMS ON SALE, , ,-553
 Extended Sizes, , Bali Comfort-U Double Support Lace Wireless Bra 3372, Deal of the Day, , , Reg. CAD 53.72, , , , Sale CAD 20.65, , ,-696
 , ," Karen Scott Elbow-Sleeve Dresses, Only at Macy's", Deal of the Day, , , Reg. CAD 61.30, , , , Your Choice CAD 37.18, , ,-111
 , ," Style & Co. Lace-Trim Top & Skinny Jeans, Only at Macy's", Deal of the Day, , select colors, Reg. CAD 74.39,-109.51, Was CAD 26.04,-109.51, Sale CAD 20.65,-98.56, ,-344
 , ," INC International Concepts Mixed-Media Utility Shirt, Only at Macy's", , , , Reg. CAD 81.96, Was CAD 49.58,-68.86, , Sale CAD 37.18,-61.98, ,-225
 , ," Style & Co V-Neck Top & Bootcut Pants, Only at Macy's", Special Savings, NEW MARKDOWN, select colors, Reg. CAD 68.19,-95.74, Was CAD 41.31,-95.74, Sale CAD 23.86,-67.02, ,-41
 , ," Karen Scott Elbow-Sleeve Boat-Neck Top, Only at Macy's", Deal of the Day, , , Reg. CAD 40.64, , , , Sale CAD 20.65, , ,-2
 , ," Style & Co Lace-Trim Top & Faux-Suede Pants, Only at Macy's", Deal of the Day, , select colors, Reg. CAD 64.06,-109.51, Was CAD 37.54,-109.51, Sale CAD 13.76,-98.56, ,-340
 , ," Style & Co. Faux-Leather Jacket, Plaid-Print Top & Patchwork Jeans, Only at Macy's", , , , Orig. CAD 75.08,-123.29, Was CAD 45.45,-109.51, Sale CAD 33.05,-98.56, ,-349
 , ," INC International Concepts Curvy-Fit Skinny Jeans, Only at Macy's", Deal of the Day, , , Reg. CAD 95.74, Was CAD 68.86,-95.74, , Sale CAD 52.33, , ,-87
 , ," Alfani Printed Swing Top & Wide-Leg Trousers, Only at Macy's", , , , Orig. CAD 81.96,-88.85, Was CAD 49.18,-88.85, Sale CAD 35.80,-68.86, ,-102
 , ," Alfani Cold-Shoulder Top & Trousers, Only at Macy's", , , , CAD 35.80,-81.96, , , SELECT ITEMS ON SALE, , ,-117
