Southeastern US Winter Weather,Due to forecasted weather in the Southeastern US travel to/from/through the cities below might be impacted., https://www.delta.com/content/www/en_US/traveling-with-us/advisories/southeastern-us-winter-weather.html
 Northeast Winter Weather, Due to forecasted weather in the Northeast travel to/from/through the cities below might be impacted., https://www.delta.com/content/www/en_US/traveling-with-us/advisories/northeast-winter-weather.html
 Central and Mid-Atlantic US Winter Weather, Due to forecasted weather in the Central and Mid-Atlantic US travel to/from/through the cities below might be impacted., https://www.delta.com/content/www/en_US/traveling-with-us/advisories/central-us-winter.html
 Northeast Winter Weather, Due to forecasted weather in the Northeast travel to/from/through the cities below might be impacted., https://www.delta.com/content/www/en_US/traveling-with-us/advisories/northeas-winter-weather.html
 Upper Plains and Midwest Winter Weather, Due to forecasted weather in the Upper Plains and Midwest travel to/from/through the cities below might be impacted., https://www.delta.com/content/www/en_US/traveling-with-us/advisories/upper-plains-and-midwest-winter-weather.html
 Pacific Northwest Winter Weather, Due to forecasted weather in the Pacific Northwest travel to/from/through the cities below might be impacted., https://www.delta.com/content/www/en_US/traveling-with-us/advisories/pacific-northwest-winter-weather.html
 Midwest Winter Weather, Due to forecasted weather in the Midwest travel to/from/through the cities below might be impacted., https://www.delta.com/content/www/en_US/traveling-with-us/advisories/midwest-winter-weather.html
 Great Lakes and Ohio Valley Winter Weather, Due to forecasted weather in the Great Lakes and Ohio Valley travel to/from/through the cities below might be impacted., https://www.delta.com/content/www/en_US/traveling-with-us/advisories/ohio-valley-winter-weather.html
 Northern Plains Winter Weather, Due to forecasted weather in the Northern Plains travel to/from/through the cities below may be impacted., https://www.delta.com/content/www/en_US/traveling-with-us/advisories/northern-plains-winter-weather.html
 Rocky Mountains Winter Weather, Due to forecasted weather in the Rocky Mountains Region travel to/from/through the cities below might be impacted., https://www.delta.com/content/www/en_US/traveling-with-us/advisories/rocky-mountains-winter-weather.html
 Dakotas Winter Weather, Due to forecasted weather in the Dakotas travel to/from/through the states below might be impacted., https://www.delta.com/content/www/en_US/traveling-with-us/advisories/dakotas-winter-weather.html
