Genesis 2:22,,"Then the Lord God made a woman from the rib he had taken out of the man, and he brought her to the man.",In Context | Full Chapter | Other Translations
Genesis 2:23,,"The man said, “This is now bone of my bones and flesh of my flesh; she shall be called ‘ woman ,’ for she was taken out of man.”",In Context | Full Chapter | Other Translations
Genesis 3:1,[ The Fall ],"Now the serpent was more crafty than any of the wild animals the Lord God had made. He said to the woman, �Did God really say, �You must not eat from any tree in the garden�?�",In Context | Full Chapter | Other Translations
Genesis 3:2,,"The woman said to the serpent, “We may eat fruit from the trees in the garden,",In Context | Full Chapter | Other Translations
Genesis 3:4,,"“You will not certainly die,” the serpent said to the woman .",In Context | Full Chapter | Other Translations
Genesis 3:6,,"When the woman saw that the fruit of the tree was good for food  and pleasing to the eye, and also desirable for gaining wisdom, she took  some and ate it. She also gave some to her husband, who was with her,  and he ate it.",In Context | Full Chapter | Other Translations
Genesis 3:12,,"The man said, “The woman you put here with me—she gave me some fruit from the tree, and I ate it.”",In Context | Full Chapter | Other Translations
Genesis 3:13,,"Then the Lord God said to the woman, �What is this you have done?� The woman said, �The serpent deceived me, and I ate.�",In Context | Full Chapter | Other Translations
Genesis 3:15,,"And I will put enmity between you and the woman , and between your offspring and hers; he will crush your head, and you will strike his heel.”",In Context | Full Chapter | Other Translations
Genesis 3:16,,"To the woman he said, “I will make your pains in childbearing  very severe; with painful labor you will give birth to children. Your  desire will be for your husband, and he will rule over you.”",In Context | Full Chapter | Other Translations
Genesis 12:11,,"As he was about to enter Egypt, he said to his wife Sarai, “I know what a beautiful woman you are.",In Context | Full Chapter | Other Translations
Genesis 12:14,,"When Abram came to Egypt, the Egyptians saw that Sarai was a very beautiful woman .",In Context | Full Chapter | Other Translations
Genesis 20:3,,"But God came to Abimelek in a dream one night and said to him, “You are as good as dead because of the woman you have taken; she is a married woman .”",In Context | Full Chapter | Other Translations
Genesis 21:10,,"and she said to Abraham, “Get rid of that slave woman and her son, for that woman ’s son will never share in the inheritance with my son Isaac.”",In Context | Full Chapter | Other Translations
Genesis 21:12,,"But God said to him, “Do not be so distressed about the boy and your slave woman . Listen to whatever Sarah tells you, because it is through Isaac that your offspring will be reckoned.",In Context | Full Chapter | Other Translations
Genesis 24:5,,"The servant asked him, “What if the woman is unwilling to come back with me to this land? Shall I then take your son back to the country you came from?”",In Context | Full Chapter | Other Translations
Genesis 24:8,,"If the woman is unwilling to come back with you, then you will be released from this oath of mine. Only do not take my son back there.”",In Context | Full Chapter | Other Translations
Genesis 24:14,,"May it be that when I say to a young woman , ‘Please let down your  jar that I may have a drink,’ and she says, ‘Drink, and I’ll water your  camels too’—let her be the one you have chosen for your servant Isaac.  By this I will know that you have shown kindness to my master.”",In Context | Full Chapter | Other Translations
Genesis 24:16,,"The woman was very beautiful, a virgin; no man had ever slept with her. She went down to the spring, filled her jar and came up again.",In Context | Full Chapter | Other Translations
Genesis 24:28,,The young woman ran and told her mother’s household about these things.,In Context | Full Chapter | Other Translations
Genesis 24:39,,"“Then I asked my master, ‘What if the woman will not come back with me?’",In Context | Full Chapter | Other Translations
Genesis 24:43,,"See, I am standing beside this spring. If a young woman comes out to draw water and I say to her, “Please let me drink a little water from your jar,”",In Context | Full Chapter | Other Translations
Genesis 24:55,,"But her brother and her mother replied, “Let the young woman remain with us ten days or so; then you may go.”",In Context | Full Chapter | Other Translations
Genesis 24:57,,"Then they said, “Let’s call the young woman and ask her about it.”",In Context | Full Chapter | Other Translations
Genesis 28:1,,So Isaac called for Jacob and blessed him. Then he commanded him: “Do not marry a Canaanite woman .,In Context | Full Chapter | Other Translations
