 FLISAT, Book display, , ,$24.99 
 MICKE, Work station, , ,$159.00 
 HEMNES, Console table, , ,$179.00 
 NUTID, Slide-in range with ceramic cooktop, , ,"$1,499.00 "
 FLISAT, Doll house/wall shelf, , ,$39.99 
 FINNVARD, Trestle with shelf, , ,$40.00 
 KLIMPEN /  FINNVARD, Table, , ,$159.00 
 LINNMON /  FINNVARD, Table, , ,$109.99 
 RIMFORSA, Tablet stand, , ,$16.99 
 MICKE, Add-on unit-high, , ,$60.00 
 TORNLIDEN /  FINNVARD, Table, , ,$129.00 
 BOTKYRKA, Wall shelf, , ,$39.99 
 BETRODD, Range with ceramic cooktop, , ,"$1,099.00 "
 ALGOT, Shelf, , ,$10.00 
PÅHL, Desk top shelf, , ,$30.00 
 HEKTAR, Floor lamp, , ,$69.99 
 BOKLIG," Book, set of 3", IKEA FAMILY,$14.99 ,$19.99 
 KVACK - THE FROG PRINCE, Book, IKEA FAMILY,$5.99 ,$7.99 
KOKVRÅ - FOOD’S READY!, Book, IKEA FAMILY,$12.99 ,$19.99 
 LATTJO - JOUONS ENSEMBLE, Book, IKEA FAMILY,$9.99 ,$12.99 
 LEKA - ROOM FOR ME!, Book, IKEA FAMILY,$12.99 ,$16.99 
HÅLLÖ - STEP IN. STEP OUT!, Book, IKEA FAMILY,$14.99 ,$19.99 
 HEMMAHOS, Book, IKEA FAMILY,$5.99 ,$7.99 
 SAGOSKATT - LES AMIS DE LA FORÃŠT, Book, IKEA FAMILY,$5.99 ,$7.99 
MALM – FIND IT! PART 1., Book, IKEA FAMILY,$14.99 ,$19.99 
