news,,Obama administration pushes for more computer science education,1 year ago,"by Blair Hanley Frank, IDG News Service ","The United States may direct billions of dollars funding towards teaching America's youth computer science, if President Obama has his way.",
reviews,,Periodic Table Droid Helps You Learn Chemistry,6 years ago," by Brent W. Hopkins, PCWorld ","If you want to learn more about Chemistry, this app provides a wealth of detail about the Periodic Table, atomic elements and their properties.",
news,,13 awesome science apps to express your inner nerd,4 years ago,"by Ian Paul, TechHive ",,
news,video,A look at the world's most powerful X-ray laser,3 years ago,"by Melissa Aparicio, IDG News Service ",Research at SLAC's Linac Coherent Light Source is used to develop future data storage systems and electronics,
news,,Computer Science Grads Fielding 'Multiple Job Offers',6 years ago,"by Ann Bednarz, Network World",It's good to be a computer science major these days.,
news,,Sony is building new battery chemistry to make smartphones last much longer,1 year ago,"by Jared Newman, PCWorld ",Sony's lithium-sulfur and magnesium-sulfur batteries could improve smartphone battery life by 40 percent in five years.,
news,,Science Mag Launches Fiction Spinoff ,5 years ago,"by John P. Mello Jr, PCWorld ","MIT's Technology Review branches out into ""hard"" science fiction with a second edition, both in print and digital. ",
news,,"Computer Science Enrollments Rebound, Up 10% Last Fall",6 years ago,"by Patrick Thibodeau, Computerworld ","For the third year, computer science enrollments have increased.",
news,Net Work,The art and science of risk management,4 years ago,"by Tony Bradley, PCWorld ","A new survey from Tripwire explores whether risk management is more science, or art.",
news,,Khan Academy to Launch Computer Science Curriculum,4 years ago,"by Joab Jackson, IDG News Service ","On Wednesday, free online tutorial service Khan Academy will launch a new series of instructional videos covering the field of computer science.",
,video,Getting started with molecular gastronomy,3 years ago,,,Molecular gastronomy is the art of combining science lab methods with kitchen ingredients. Here's how to get started! (2:44)
,video,10 Ideas from DARPA,1 year ago,by Martyn Williams,,Thought-provoking questions on computer science and machine learning (5:37)
,video,Lighting Science wants its Good Night Bulb to put you to sleep,3 years ago,,,"The LED bulb removes blue hues of light that can keep you up at night, while another product -- the Alert & Awake Bulb-- helps you get started on your day. (0:59)"
,video,Basis Peak is the perfect activity tracker for hardcore quantified-selfers,2 years ago,by Jon Phillips,,"With automatic event logging and breakthrough heart-rate monitoring, the Basis Peak is a wrist-worn window into your own body science. (2:09)"
,video,Case study: Using VCloud to replicate data offsite,5 months ago,,"At VMworld, Network World chatted with Tom White, IT Director at Environmental Science Corp., about how he virtualized disaster recovery using cloud technologies. ",
,video,Interested in cooking sous-vide style? The Anova Precision Cooker makes it easy. ,2 years ago,by Sarah Jacobsson Purewal,,This French method of cooking by placing food inside a vacuum-sealed bag and boiling it at a controlled temperature is an art and a science. This device makes it easy for the home chef. (0:41)
,video,"Interview: Whitney Bouck, COO, HelloSign",8 months ago,,,"IDG CMO Perspectives provides insight into the state of Marketing across industries from leading business executives. Whitney Bouck, HelloSign’s Chief Operating Officer, speaks to Josh London, CMO of IDG and shares her thoughts on using insights to drive a better customer experience, the art and science of marketing and the importance of finding your service evangelists. (8:31)"
