 Hoyle Official Casino Games,"14 Oct, 2016", CDN$ 21.99, , , 
 The Four Kings Casino and Slots,"1 Jun, 2015", Free to Play, , , 
 Casino Noir,2017, , , , 
 Casino Inc.,"17 Apr, 2015", ,-20%, CDN$ 6.49, CDN$ 5.19
 PAYDAY 2: The Golden Grin Casino Heist,"25 Jun, 2015", ,-75%, CDN$ 7.79, CDN$ 1.94
 RPG Maker VX Ace - Casino Tile Pack,"28 Jan, 2016", CDN$ 10.99, , , 
 Stern Pinball Arcade: High Roller Casino,"27 Dec, 2016", CDN$ 5.49, , , 
 Fallout: New Vegas Ultimate Edition,"6 Feb, 2012", CDN$ 21.99, , , 
 LiEat,"25 Feb, 2016", CDN$ 3.29, , , 
 Tower Unite,"8 Apr, 2016", CDN$ 16.99, , , 
 Governor of Poker 3,"19 Feb, 2016", Free to Play, , , 
 Adventures Of Fluzz,"3 Sep, 2016", CDN$ 4.49, , , 
 Super Blackjack Battle 2 Turbo Edition - The Card Warriors,"3 Mar, 2017", , , , 
 Jackpot Poker by PokerStars,"30 Dec, 2016", , , , 
 Prominence Poker,"12 Dec, 2016", Free to Play, , , 
" Gremlins, Inc.","10 Mar, 2016", CDN$ 19.99, , , 
 Cheaters Blackjack 21,"7 Jun, 2016", CDN$ 4.49, , , 
 Sonic Generations Collection,"3 Nov, 2011", CDN$ 21.99, , , 
 A Wise Use of Time," 4 Sep, 2015", CDN$ 4.49, , , 
 Downfall," 15 Feb, 2016", CDN$ 13.99, , , 
 Sam & Max: Season One," 2 Nov, 2007", CDN$ 32.99, , , 
 Shufflepuck Cantina Deluxe," 6 Dec, 2013", CDN$ 10.99, , , 
 Governor of Poker 2 - Premium Edition,"11 Oct, 2010", CDN$ 21.99, , , 
 Last Dream,"13 Mar, 2014", CDN$ 10.99, , , 
 IGT Slots Paradise Garden,"17 Sep, 2014", CDN$ 21.99, , , 
