 , ,3.3, , , , , ,New Castle , 46 votes, 2 reviews, Argyll & Industrial, ," 8170 50 St NW, Edmonton, AB T6B1E6", Cuisines:, Breakfast, , , Cost:, $, , , , , Call, ,
 , -, , , , , , ,New Castle , , , Argyll & Industrial, ," 8170 50 St NW, Edmonton, AB T6B1E6", Cuisines:, Breakfast, , , Cost:, $, Hours:," 6 AM to 7 PM (Mon-Sat),8 AM to 7 PM (Sun)", , , Call, ,
 , , , ,3.7, , , Casual Dining,New Indian Village , 325 votes, 68 reviews, Northeast Edmonton, 7 locations ›," 320 Manning Xing NW, Edmonton, AB T5A 5A1", Cuisines:, Asian, Indian, , Cost:, $$, Hours:," 11:30 AM to 9:30 PM (Mon-Thu),11:30 AM to 10 PM...", , , Call, ,
 , , , , ,3.8, , ,New Tan Tan? , 187 votes, 28 reviews, Downtown, ," 10133 97 Street NW, Edmonton, AB T5H3V5", Cuisines:, Asian, Dim Sum, , Cost:, $$, Hours:," Lunch, Dinner (Sun, Mon, Tue, Wed, Thu, Fri, Sat)", , , Call, ,
 , , , , ,3.8, , ,New Way Pizza , 132 votes, 23 reviews, Northeast Edmonton, ," 13128 66 St, Edmonton, AB", Cuisines:, Fast Food, Pizza, , Cost:, $$, Hours:," 11 AM to 11 PM (Mon, Wed, Thu), Closed (Tue),11 AM...", , , Call, View Menu,
3, , , , , , , Casual Dining,New China Village , 29 votes, 7 reviews, Bonnie Doon, ," 9010 75 Street NW, Edmonton, AB T6C 2H4", Cuisines:, Asian, Chinese, , Cost:, $$, Hours:," 11 AM to 11 PM (Mon-Thu),11 AM to 12 Midnight...", , , Call, ,
 , , ,2.9, , , , , Nisku Recreation Centre , 10 votes, 1 Review, Nisku, ," 606 18 Ave, Nisku, AB T9E7T5", Cuisines:, Bar Food, , , Cost:, $, Hours:," (Sun, Sat), Breakfast, Lunch (Mon-Fri)", , , Call, ,
 , , , , ,2.9, , ,New West Restaurant , 9 votes, 5 reviews, Mayfield & Industrial, ," 15025 111 Ave NW, Edmonton, AB T5M", Cuisines:, Coffee and Tea, Canadian, , Cost:, $$, Hours:," 6 AM to 9:30 PM (Mon-Sat),7 AM to 9:30 PM (Sun)", , , Call, ,
 , -, , , , , , Quick Bites,New Asian Village , 2 reviews, , Millwoods, ," Millwoods Town Centre, 2331 66 Street NW, Edmonton", Cuisines:, Indian, , , , , , , , , Call, ,
 , , , ,3.7, , , ,New Red Pepper Cafe , 93 votes, 20 reviews, Stony Plain, ," Forest Green Plaza 4613 52 Ave Unit 104, Stony Plain, AB T7Z1E7", Cuisines:, Chinese, Canadian, , Cost:, $, Hours:," Breakfast, Lunch, Dinner (Sun, Mon, Tue, Wed, Thu...", , , Call, View Menu,
 , , , , ,2.4, , ,New York Pizza and Donair , 42 votes, 12 reviews, Kingsway, ," 9715 118 Ave NW, Edmonton, AB T5G0P4", Cuisines:, Italian, Pizza, Kebab, Cost:, $, Hours:," Breakfast, Lunch, Dinner, Late (Sun, Mon, Tue, Wed...", , , Call, ,
 , ,2.6, , , , , ,New Crystal Palace Restaurant , 5 votes," 15003 118 avenue, Edmonton, AB T5V1B8", Mayfield & Industrial, , Cuisines:, Cost:, Chinese, , , , $$, , , , , Call,,
 , , , ,3.9, , , ,New York Bagel Cafe , 601 votes, 122 reviews, University & Old Strathcona, ," 8430 Gateway Blvd NW, Edmonton, AB T6E5R3", Cuisines:, Breakfast, , , Cost:, $$$, Hours:," Breakfast, Lunch (Sun, Mon, Tue, Wed, Thu, Fri, Sat)", , , Call, View Menu,
 , , , ,3.7, , , ,New Dragon Palace Seafood Restaurant, 126 votes, 16 reviews, Terra Losa, ," 17743 98A Avenue Nw, Edmonton, AB T5T5T8", Cuisines:, Chinese, , , Cost:, $$, , , , , Call, View Menu,
 , , , , , ,4.2, , DaDeO New Orleans Diner and Bar, 3426 votes, 366 reviews, University & Old Strathcona, ," 10548 82 Ave NW, Edmonton, AB T6E2A4", Cuisines:, Diner, Southern, Cajun, Cost:, $$, Hours:," 11:30 AM to 10 PM (Mon, Tue, Thu), Closed...", In reviews:,"""... little place to have some very good ""New Orleans"" food and, tonight, was no exception""", Call, View Menu, 
 , , , ,3.7, , , Quick Bites,New York Fries , 95 votes, 4 reviews, Bonnie Doon, 9 locations ›," 8330 82 Avenue NW, Edmonton, AB T6C 4E3", Cuisines:, Fast Food, American, , Cost:, $, Hours:," Lunch (Sun, Sat), Lunch, Dinner (Mon-Fri)", , , Call, ,
