 , , Fitbit Unisex Charge 2 Lavender Strap Heart Rate + Fitness Wristband Small - Special Edition, , CAD 247.94, , , , , 
 ,"NEW! Charter Club Women's Pavé Rose Gold-Tone Bracelet Watch 28mm, Only at Macy'", , Deal of the Day, Reg. CAD 51.66, , Sale CAD 34.42, , , 
 , , Fitbit Unisex Charge 2 Black Strap Heart Rate + Fitness Wristband Small - Special Edition, , CAD 247.94, , , ,-3, 
 , ," Charter Club Two-Tone Bracelet Watch 22x30mm, Only at Macy's", Deal of the Day, Reg. CAD 51.66, , Sale CAD 34.42, , , 
 , ," Charter Club Gold-Tone Stretch Bracelet Watch 30x34mm, Only at Macy's", Deal of the Day, Reg. CAD 51.66, , Sale CAD 34.42, , , 
 ,"NEW! Charter Club Women's Stainless Steel Bracelet Watch 19 x 13mm, Only at Macy's", , Deal of the Day, Reg. CAD 51.66, , Sale CAD 34.42, , , 
 , ," Charter Club Rose Gold-Tone Bracelet Watch 26mm, Only at Macy's", Deal of the Day, Reg. CAD 51.66, , Sale CAD 34.42, , , 
 , ," Charter Club Women's Silver-Tone Mesh Bracelet Watch 25mm, Only at Macy's", Deal of the Day, Reg. CAD 51.66, , Sale CAD 34.42, , , 
 , ," Charter Club Crystal Gold-Tone Bracelet Watch 33mm, Only at Macy's", Deal of the Day, Reg. CAD 51.66, , Sale CAD 34.42, , , 
 , ," Charter Club Rose Gold-Tone Mesh Bracelet Watch 25mm, Only at Macy's", Deal of the Day, Reg. CAD 51.66, , Sale CAD 34.42, , , 
 , , Betsey Johnson Women's Aqua and White Polka Dot Strap Watch 42mm BJ00496-47, , Reg. CAD 103.32, , Sale CAD 77.49, ,-1, 
 , ," Charter Club Women's PavÃ© Rose Gold-Tone Bracelet Watch 33mm, Only at Macy's", Deal of the Day, Reg. CAD 51.66, , Sale CAD 34.42, ,-3, 
 , ," INC International Concepts Women's Rose Gold-Tone Stainless Steel Mesh Bracelet Watch & Bracelet Box Set 32mm IN014RG, Only at Macy's", Deal of the Day, Orig. CAD 95.74, Was CAD 71.81, Sale CAD 47.87, NEW MARKDOWN, , 
 , ," Charter Club Women's Rose Gold-Tone Bangle Bracelet Watch with Heart Charm 26mm, Only at Macy's", Deal of the Day, Reg. CAD 51.66, , Sale CAD 34.42, ,-2, 
 , , Fitbit Women's Flex 2 Premium Stainless Steel Bangle Bracelet, , CAD 123.96, , , , , 
 , , Betsey Johnson Women's Stainless Steel Bracelet Watch 42mm BJ00158-06, , Reg. CAD 130.87, , Sale CAD 98.15, , , 
 , , Fitbit Charge 2 Heart Rate + Fitness Wristband, , Reg. CAD 206.62, , Sale CAD 179.07, ,-65, 
 , , Betsey Johnson Women's Gold-Tone Bracelet Watch 40mm BJ00048-181, , Reg. CAD 130.87, , Sale CAD 98.15, , , 
 , ," Charter Club Women's Heart Charm Silver-Tone Bangle Bracelet Watch 26mm, Only at Macy's", Deal of the Day, Reg. CAD 51.66, , Sale CAD 34.42, ,-3, 
 , , Fitbit Flex 2 Fitness Wristband, , Reg. CAD 137.74, , Sale CAD 110.19, ,-7, 
 , ," INC International Concepts Women's Gold-Tone and Black Bracelet Watch 40mm, Only at Macy's", Deal of the Day, Reg. CAD 68.19, , Sale CAD 47.73, , , 
 , ," INC International Concepts Women's Gunmetal and Jet Crystal Stone Glitter Bracelet Watch 34mm, Only at Macy's", Deal of the Day, Reg. CAD 68.19, , Sale CAD 47.73, ,-2, 
 , , Fitbit Alta Black/Gold Activity Tracker, , CAD 206.62, , , ,-11, 
 , , Betsey Johnson Women's Black Bracelet Watch 40mm BJ00190-80, , Reg. CAD 103.32, , Sale CAD 77.49, ,-2, 
 , , Fitbit Women's Flex 2 22k Gold-Plated Bangle Bracelet FB161MBGDL, , CAD 137.74, , , ,-3,
 , ," Charter Club Women's Crystal Gold-Tone Imitation Pearl Bracelet Watch 28mm, Only at Macy's", Deal of the Day, Reg. CAD 51.66, , Sale CAD 34.42, ,-2, 
 , ," INC International Concepts Women's Pink Leather Strap Watch 40mm, Only at Macy's", Deal of the Day, Reg. CAD 68.19, , Sale CAD 47.73, ,-1, 
 , , Fitbit Women's Flex 2 22k Rose Gold-Plated Bangle Bracelet FB161MBRGL, , CAD 137.74, , , , , 
 ,NEW! INC International Concepts Women's Two-Tone Bracelet Watch 34mm and Crystal Accented Bracelet Set IN016SRG, , Deal of the Day, Reg. CAD 95.74, , Sale CAD 67.02, , , 
 , , Betsey Johnson Women's Rose Gold-Tone Bracelet Watch 40mm BJ00048-167, , Reg. CAD 103.32, , Sale CAD 77.49, ,-2, 
 , ," INC International Concepts Women's Rose Gold-Tone Bracelet Watch & Bracelets Set 30mm IN008RGBL, Only at Macy's", Deal of the Day, Reg. CAD 95.74, , Sale CAD 67.02, , , 
 , , Betsey Johnson Women's Rose Gold-Tone Bracelet Watch 44mm BJ00249-40, , Reg. CAD 103.32, , Sale CAD 77.49, , , 
 , , INC International Concepts Women's Digital Multicolored Floral Silicone Strap Watch 38mm IN017GFL, Deal of the Day, Reg. CAD 54.41, , Sale CAD 38.09, , , 
