 Follow, thrifterror, , , , Expand, , , ,, , , ,, , , This… energetic… creature actually came home with one of my friends., , bunny, speakers, dancing rabbit, weird, , , , , , , , , , , , , , , , , , , , , , , , , , ," ""1,213 notes", 
 Follow, therestlessintrovert, , , , , , , ,, ,3, ,, , , When bae captures you listening to Childish Gambino’s new album on your new speakers for the first time, , childish Gambino, music, speakers, life, love, happiness, awaken my love, Donald glover, janaé, me, bgki, blackgirlskillinit, bgrpt, bgrp2 blackgirlsrpretty2, tfb, thefinestbeauties, blackgirlmagic, NYU, natural hair journey, lace wigs, lace frontals, full lace wigs, pretty black girls, blackout, , , , , , , 187 notes, 
 Follow, battle-stations, , , , , , ," ""Submit your own battlestation, or Tech Blog/Twitch Stream to be considered for an interview!",, , , ,, , , , , battlestations, computers, desktop, laptop, nerd, geek, cool, monitor, desk, headphones, speakers, mouse, keyboard, mousepad, mechanical keyboard, monitors, pc, room, bedroom, workstation, condo, dorm, gamer, game, cyberpunk, mac, tech, battle stations, apple, , 709 notes, 
 Follow, 80sretroelectro, , , , , , , ,, , , ,, , , Sanyo personal stereo ad., Scan, sanyo, ad, advertisement, 80s, retro, design, personal, stereo, audio, speakers, box, casette, cassette, radio, technology, , , , , , , , , , , , , , , , 294 notes, 
 Follow, yourpcbuilds, , , , ,, , ,, ,3, ,, , /u/Sidnis / Photoshoot of his battlestation, , , battlestation, battlestations, ultrawide, ultrawide monitor, pc gaming, pc build, watercooling, watercooled pc, pc setup, gaming setup, skylake, audioengine, speakers, led, leds, mechanical keyboard, keyboard, mouse, gaming mouse, games, gaming, yourpcbuilds, , , , , , , , , 660 notes, 
 Follow, urbanoutfitters, , , , , , ,Has there ever been a cuter radio?,, ,2, ,, , , , , Urban Outfitters, UO Blog, Roberts Radio, Radio, Speakers, , , , , , , , , , , , , , , , , , , , , , , , , ," ""1,135 notes", 
 Follow, henleydesigns, , , , , , , ,, , , ,, , , Roksan M2, , roksan, m2, cd player, amplifier, amp, cd, integrated, power amp, power amplifier, radius, radius 5, turntable, hifi, hi-fi, system, speakers, , , , , , , , , , , , , , , 108 notes,
 Follow, norepetitivebeats, , , , , , , ,, , , ,, , ," ""Members of Exodus collective maintaining their speaker stack after a free rave, circa early 90s", , exodus, rave, free party, 90s, oldskool, old skool, collective, soundsystem, speakers, bassbins, , , , , , , , , , , , , , , , , , , , , 184 notes, 
 Follow, moma, , , , ,, ,The first transistor radio was released 61 years ago today. Here�s Dieter Rams�s 1959 design for Braun,, , , ,,", on view now in Making Music Modern: Design for Ear and Eye.", ," ""[Dieter Rams. Portable Transistor Radio and Phonograph (model TP 1). 1959. Braun AG, Frankfurt, Germany, est. 1921. The Museum of Modern Art, New York]", , Dieter Rams, Braun, Vintage Braun, Transistor Radio, Radio, Design, Architecture and Design, Architecture & Design, Product Design, Technology, Audio, Audiophile, Speakers, Music, German Design, , , , , , , , , , , , , , , ," ""1,557 notes", 
 Follow, yourpcbuilds, , , , ,, , ,, ,2, ,, ,/u/steaprok / Battlestation with a view, , , battlestation, battlestations, pc build, pc setup, gaming setup, work setup, monitors, keyboard, setup, speakers, pc gaming, gaming, , , , , , , , , , , , , , , , , , , 925 notes, 
 Follow, equispebe, , , , , , , ,, , , ,, , , , , gif, black or white, michael jackson, speakers, volume, knob, loud, louder, are you nuts, , , , , , , , , , , , , , , , , , , , , , 179 notes, 
