 , Cross-Border Mergers and Acquisitions, by Scott C. Whitaker," April 2016 ,", Hardcover,(E-book also available), Buy, CDN $83.00
 , Decoding the New Consumer Mind: How and Why We Shop and Buy, by Kit Yarrow," March 2014 ,", Hardcover,(E-book also available), Buy, CDN $32.00
 , Designing Search: UX Strategies for eCommerce Success," by Greg Nudelman, Pabini Gabriel-Petit (Contributing Editor)"," May 2011 ,", Paperback,(E-book also available), Buy, CDN $47.99
 Textbook, En vivo for Spanish 12 session eCommerce, by Linguameeting," May 2014,  ©2014 ,", Digital Content,, Buy, CDN $44.95
 Textbook, En vivo for Spanish 6 session eCommerce, by Linguameeting," May 2014,  ©2014 ,", Digital Content,, Buy, CDN $33.95
 Textbook," Accounting Principles, 12e Wiley eText + WileyPLUS eCommerce Set", by Jerry J. Weygandt," November 2016,  ©2016 ,", Digital Content,, Buy, CDN $156.95
 , Data Mining and Analytics II Engage eCommerce Set for WGU, by St√©phane Tuff√©ry," December 2016 ,", Digital Content,, Buy, CDN $93.99
 Textbook," Advanced Engineering Mathematics, 10e Wiley E-Text: Powered by VitalSource with WileyPLUS eCommerce Set", by Erwin Kreyszig," January 2017,  ©2016 ,", Digital Content,, Buy, CDN $153.95
 Textbook, Abnormal Psychology 12e DSM-5 Update BRV Wiley E-Text with WileyPLUS eCommerce Set, by Ann M. Kring," January 2017,  ©2016 ,", Digital Content,, Buy, CDN $111.95
 Textbook," Foundations of College Chemistry, 15e Wiley E-Text: Powered by VitalSource with WileyPLUS eCommerce Set", by Morris Hein," January 2017,  ©2016 ,", Digital Content,, Buy, CDN $132.95
 Textbook," Human Physiology, 1e Wiley E-Text: Powered by VitalSource with WileyPLUS Learning Space Ecommerce Set", by Bryan H. Derrickson," January 2017,  ©2016 ,", Digital Content,, Buy, CDN $126.95
 Textbook," Managerial Accounting, 6e Wiley E-Text: Powered by VitalSource with WileyPLUS eCommerce Set", by James Jiambalvo," January 2017,  ©2016 ,", Digital Content,, Buy, CDN $139.95
 Textbook," Basic Engineering Circuit Analysis, 11e Wiley E-Text: Powered by VitalSource with WileyPLUS eCommerce Set", by J. David Irwin," January 2017,  ©2016 ,", Digital Content,, Buy, CDN $126.95
 Textbook," Organic Chemistry, 12e Wiley E-Text: Powered by VitalSource with WileyPLUS Ecommerce Set", by T. W. Graham Solomons," January 2017,  ©2016 ,", Digital Content,, Buy, CDN $161.95
 Textbook," Operations Management, 5e Wiley E-Text: Powered by VitalSource with WileyPLUS Ecommerce Set", by R. Dan Reid," January 2017,  ©2016 ,", Digital Content,, Buy, CDN $132.95
 Textbook, Management Information Systems 2e Wiley E-Text: Powered by VitalSource with WileyPLUS eCommerce Set, by R. Kelly Rainer," January 2017,  ©2016 ,", Digital Content,, Buy, CDN $111.95
 Textbook," Control Systems Engineering, 7e Wiley E-Text: Powered by VitalSource with WileyPLUS Learning Space Ecommerce Set", by Norman S. Nise," January 2017,  ©2016 ,", Digital Content,, Buy, CDN $111.95
 Textbook," Engineering Mechanics: Dynamics, 8e SI Version Wiley E-Text: Powered by VitalSource with WileyPLUS eCommerce Set", by James L. Meriam," January 2017,  ©2016 ,", Digital Content,, Buy, CDN $111.95
 Textbook," Introductory Statistics, 9e Wiley E-Text: Powered by VitalSource with WileyPLUS eCommerce Set", by Prem S. Mann," January 2017,  ©2017 ,", Digital Content,, Buy, CDN $111.95
 ," Online Dispute Resolution For Business: B2B, ECommerce, Consumer, Employment, Insurance, and other Commercial Conflicts", by Colin Rule," September 2002 ,", Hardcover,(E-book also available), , 
