 Follow, theprojectbook, , , , photography, workspo, studyspo, photographer, grapefruit, glasses, laptop, ikea, coffee, macbook, witing, roses, white, whiteroses, plants, view, , , , , , , , , , , , , , 9 notes
 Follow, 5secondsofmyinfinity, , , , calendar, notes, coffee, motivation, studyblr, studyspo, study motivation, laptop, work, work motivation, , , , , , , , , , , , , , , , , , , ," ""2,633 notes"
 Follow, mymidnightlatte, , Setting up our new apartment 💻📖, , studyblr, desk, studyspo, laptop, journal, bullet journal, bujo, , , , , , , , , , , , , , , , , , , , , , ," ""2,127 notes"
 Follow, n-beautiful, , , , bedroom, room, lights, home decor, room decor, autumn, fall, photography, laptop, lifestyle, , , , , , , , , , , , , , , , , , , ," ""3,723 notes"
 Follow, khawlaxy, ," ""Sunday, December 4th 2016", I should read my textbooks in advance. Really. Because right now I’m totally lost and the exam is in 3 days, khawlaxy, studyspiration, study motivation, med student, studyspo, student, studyblr, room, desk, laptop, mac, macbook, biology, rip, exams, finals, cells, coffee shop, coffee, dream catcher, pen, pencil, aesthetic, aestheitcs, medicine, medical, , , ," ""1,986 notes"
 Follow, seaside-sigh, , it feels so much like 2014 today it’s so fucking weird., , me, mine, peaches, my photo, vertical, skater, skate, skating, vans, skateboarding, urban, city, supreme, rastaclat, thrasher, zumiez, apple, laptop, , , , , , , , , , , ," ""1,168 notes"
 Follow, bebaslun, , , , sekaiichi hatsukoi, anime, Monday's, junjou romantica, manga, pink, teady Bears, stars, books, office, pink chair, laptop, mouse, , , , , , , , , , , , , , , , ," ""2,380 notes"
 Follow, cleyoh, , , , psyche, psychedelia, psycho, psychedelic, flowers, computer, laptop, tape, green, writing, , , , , , , , , , , , , , , , , , , ," ""3,587 notes"
 Follow, steveinaspeedo, , , , starbucks, coffee, iphone, laptop, , , , , , , , , , , , , , , , , , , , , , , , , ," ""1,000 notes"
 Follow, neaarty, , , , 90s, alternative, funny, grunge, indie, laptop, meme, retro, tumblr, vintage, , , , , , , , , , , , , , , , , , , , 660 notes
 Follow, eintsein,2, 28/6/16 10:37 PM // typing out notes from my seminar today + awesome view of Oxford from the top of the tower at St. Margaret’s Church. I have a total of 3 courseworks to complete so far. The summer course has been pretty great and I’ve made more friends than I expected so 😁, , studyblr, studyspo, study hard, creative writing, eng, english, literature, english lit, laptop, sony, notebook, campus, kokuyo, oxford, summer, poetry, poem, poems, stabilo, staedtler, fineliner, highlighter, marker, mildliner, zebra, sarasa, uk, england, mine," ""6,236 notes"
 Follow, jetsetter-life, , , , study, motivation, inspiration, hard, work, harder, laptop, law, student, uni, university, colege, high school, library, books, , , , , , , , , , , , , , ," ""2,764 notes"
 Follow, circle-and-square-studies, ," ""My film team is brainstorming for our new project this week, and its just about the most exciting thing I’ve worked on at this company.", , studyblr, work, workflow, desk, workspace, laptop, macbook, conference, meeting, office, deskspace, study materials, study motivation, study inspo, studyspo, study inspiration, moleskine, apple, , , , , , , , , , , ," ""7,594 notes"
 Follow, k-alif0rnia, , , , typography, studyblr, studyspo, study inspiration, study motivation, student, college, study space, notes, laptop, quote, , , , , , , , , , , , , , , , , , , 909 notes
