,Army of TWO™: TFD,"5,069",Original release date: 2010-01-12,Game Rating: M (Mature),Genre: Shooter,,,$19.99 ,Learn More
,BioShock 2,"4,517",Original release date: 2010-02-09,Game Rating: M (Mature),Genre: Shooter,,,,Learn More
,Unreal Tournament® 3,"1,680",Original release date: 2008-07-07,Game Rating: M (Mature),Genre: Shooter,,,,Learn More
,Sonic's UGC,"1,477",Original release date: 2009-02-10,Game Rating: E10 (Everyone 10+),"Genre: Other, Action & Adventure, Role Playing, Shooter, Classics, Puzzle & Trivia",,,,Learn More
Halo 4,Halo 4 War Games Map Pass,661,Release date: 2012-11-05,Game Rating: M (Mature),Genre: Shooter,,,$24.99 ,Learn More
,Destiny,"12,352",Game Rating: T (Teen),Genre: Shooter,,,,,Learn More
,Call of Duty®: WaW,"32,531",Original release date: 2008-11-11,Game Rating: M (Mature),"Genre: Action & Adventure, Shooter",,,$29.99 ,Learn More
,COD: Black Ops II,"44,579",Release date: 2013-01-29,Game Rating: M (Mature),"Genre: Action & Adventure, Shooter",,,$49.99 ,Learn More
,COD: Advanced Warfare,"42,779",Release date: 2014-11-03,Game Rating: M (Mature),Genre: Shooter,,,$49.99 ,Learn More
,Modern Warfare® 3,"64,472",Release date: 2012-04-24,Game Rating: M (Mature),Genre: Shooter,Gold Exclusive Price,$14.99 ,$29.99 ,Learn More
,Call of Duty®: Ghosts,"18,506",Release date: 2013-11-05,Game Rating: M (Mature),"Genre: Action & Adventure, Shooter",,,$39.99 ,Learn More
,Gears of War 3,"25,506",Original release date: 2011-04-05,Game Rating: M (Mature),Genre: Shooter,,,$19.99 ,Learn More
,Modern Warfare® 2,"80,521",Original release date: 2009-11-10,Game Rating: M (Mature),"Genre: Action & Adventure, Shooter",Gold Exclusive Price,$9.99 ,$19.99 ,Learn More
,Borderlands 2,"13,539",Original release date: 2012-09-18,Game Rating: M (Mature),"Genre: Role Playing, Shooter",,,$19.99 ,Learn More
,Halo 4,"31,483",Release date: 2013-02-05,Game Rating: M (Mature),Genre: Shooter,,,$29.99 ,Learn More
,Red Dead Redemption,"26,044",Original release date: 2010-05-18,Game Rating: M (Mature),"Genre: Action & Adventure, Shooter",,,$16.49 ,Learn More
,Left 4 Dead 2,"28,013",Original release date: 2010-04-22,Game Rating: M (Mature),"Genre: Action & Adventure, Fighting, Shooter",,,$19.99 ,Learn More
,Plants vs Zombies Garden Warfare,"11,277",Release date: 2014-02-25,Game Rating: E10 (Everyone 10+),"Genre: Action & Adventure, Shooter",,,$19.99 ,Learn More
,PAYDAY 2,"5,538",Release date: 2013-08-23,Game Rating: M (Mature),Genre: Shooter,,,$34.99 ,Learn More
,Titanfall Deluxe Edition,"11,203",Release date: 2014-12-02,Game Rating: M (Mature),"Genre: Action & Adventure, Shooter",,,$19.99 ,Learn More
,Gears of War 2,"20,449",Original release date: 2008-11-07,Game Rating: M (Mature),Genre: Shooter,,,$19.99 ,Learn More
,Battlefield: Bad Co. 2,"24,681",Original release date: 2010-03-02,Game Rating: M (Mature),"Genre: Action & Adventure, Shooter",,,$19.99 ,Learn More
,Left 4 Dead,"23,385",Original release date: 2009-09-28,Game Rating: M (Mature),"Genre: Action & Adventure, Fighting, Shooter",,,$19.99 ,Learn More
,Gears of War: Judgment,"8,815",Release date: 2013-06-18,Game Rating: M (Mature),Genre: Shooter,,,$19.99 ,Learn More
,Borderlands,"21,572",Release date: 2010-10-19,Game Rating: M (Mature),Genre: Shooter,,,$19.99 ,Learn More
,Borderlands: The Pre-Sequel,"1,681",Original release date: 2014-10-14,Game Rating: M (Mature),"Genre: Role Playing, Shooter",,,$39.99 ,Learn More
,Alan Wake,"6,874",Original release date: 2010-05-18,Game Rating: T (Teen),"Genre: Action & Adventure, Shooter",,,$19.99 ,Learn More
,Duke Nukem Forever,"7,451",Release date: 2012-01-24,Game Rating: M (Mature),Genre: Shooter,,,$19.99 ,Learn More
,Far Cry® 4,"6,248",Release date: 2014-11-18,Game Rating: M (Mature),Genre: Shooter,,,$29.99 ,Learn More
,Halo 3: ODST Campaign Edition,"22,674",Original release date: 2009-09-22,Game Rating: M (Mature),Genre: Shooter,,,$14.99 ,Learn More
