 Art of War, Want to Read, by, Sun Tzu, , , , , , Rate this book,"3.95 avg rating — 188,141 ratings",— published -450 — 1586 editions
 Tax Law Reference Set, Want to Read, by, Thomson West, , , , , , Rate this book,0.00 avg rating — 0 ratings,— published 2006 — 1 edition
 Holman Christian Standard Bible, Want to Read, by, Anonymous, , , , , , Rate this book,"4.58 avg rating — 1,805 ratings",— published 1943 — 237 editions
 The Goa Law Reference, Want to Read, by, Fernando Jorge Colaco, , , , , , Rate this book, 0.00 avg rating — 0 ratings, — 1 edition
 NYS Criminal Law Reference, Want to Read, by," Looseleaf Law Publications, Incorporated", , , , , , Rate this book,0.00 avg rating — 0 ratings,— published 2007 — 1 edition
 HRD & Labour Law Referencer, Want to Read, by, H.L. Kumar, , , , , , Rate this book,4.00 avg rating — 1 rating,— 1 edition
 The Law Office Reference Manual the Law Office Reference Manual, Want to Read, by," Jo Ann Lee ,", Marilyn Satterwhite, , , , , Rate this book,5.00 avg rating — 1 rating, — published 2006 — 1 edition
 Orthodox Canon Law Reference Book, Want to Read, by, Vasili Mihai, , , , , , Rate this book,5.00 avg rating — 1 rating , — published 2014 — 1 edition
 A Handbook of Military Law: Reference Manual, Want to Read, by, U C Jha, , , , , , Rate this book,0.00 avg rating — 0 ratings, — published 2013 — 1 edition
 Internet and Technology Law Desk Reference, Want to Read, by, Michael D. Scott, , , , , , Rate this book,0.00 avg rating — 0 ratings, — published 1999 — 8 editions
 Handbook Of Federal Indian Law: With Reference Tables And Index, Want to Read, by, Felix S. Cohen, , , , , , Rate this book,3.00 avg rating — 1 rating,— published 1992 — 2 editions
 Telecommunications Law Desk Reference, Want to Read, by, Michael D. Scott, , , , , , Rate this book,0.00 avg rating — 0 ratings,— published 2003 — 2 editions
 Employment Law Reference Guide, Want to Read, by, John Sanchez, , , , , , Rate this book,0.00 avg rating — 0 ratings ,— published 2008 — 1 edition
 The Irwin Law Office Reference Manual, Want to Read, by," Jo Ann Lee ,", Marilyn L. Satterwhite, , , , , Rate this book,0.00 avg rating — 0 ratings,— published 1995 — 1 edition
 California Contractors License Law & Reference Book 2016, Want to Read, by, Contractors State License Board State of California, , , , (Corporate Author), , Rate this book,0.00 avg rating — 0 ratings,— 1 edition
 South Carolina Employment Law Reference Guide, Want to Read, by," J. Hagood Tighe ,"," Lisa Hein ,", Jeff O'Connell, (Goodreads Author), (Editor), (Editor), Rate this book,0.00 avg rating — 0 ratings,— published 2015 — 1 edition
 The Banking Law Reference Guide for National Banks, Want to Read, by, Jonathan L. Levin, , , , , , Rate this book,0.00 avg rating — 0 ratings ,— published 1991 — 1 edition
 The Penguin Dictionary of Law (Penguin Reference), Want to Read, by, Julian Webb, , , , , , Rate this book,3.50 avg rating — 4 ratings , — published 2009 — 1 edition
 California Contractors License Law  & Reference Book: 2008 Edition, Want to Read, by," LexisNexis,", Publisher's Editorial Staff, , , , , Rate this book,0.00 avg rating — 0 ratings, — published 2008 — 1 edition
 California Contractors License Law & Reference Book with CD-ROM, Want to Read, by, Publisher's Editorial Staff, , , , , , Rate this book,0.00 avg rating — 0 ratings,— published 2010 — 5 editions
