Soccer Stars
Soccer Stars C
 MiniSoccer
WorldSoccer F
 Soccer Pro
Soccer Five
Soccer Champ
Euro Soccer
 Power Soccer
 World Soccer
Soccer Physics
 London 2012
Soccer Games
 Beach Soccer
 African Soccer
OurWorld
Soccer Noggins
EuroSoccer
Soccer Noggins
BubbleTrouble
Simple Soccer
Kind of Soccer
 Mini Soccer Cl
 Winter Games
 Elastic Socc
Rio 2016
 Lumberjack
 Christmas
 Free Kick
 Trials 2
 Bush Shoot
Gardens
 3FootNinja 2
 Xbox Party
Foot Chinko
 Spark City
 Pro Kick Rev
 BP Gas Mania
 Athletics
Keeper
 Tiny Castl
 Garden Panic
 Sneeze
 Music Cube
 Classroom P
 Mr Men Pinball
 Twisted City
 Gripz Globe
 Free Kick C
Vuvuzela
Golden Boot
 SH Mahjongg
I Eat Bananas
2048
 UFO Joe
 Alien Clones
 MonkeyLander
 Cyber Mice
 Pengapop
 Shove It
 Blox Forever
Red Beard
 Save Sheriff
 Shootin' Hoops
 Sheepish
 SamuraiWarrior
 Rocketman
 Reel Gold
 Space Escape
 Rigelian Hotsh
 Rugby
 Trapshoot
 Verti Golf
Wakeboarding
 BaseJumping
 Tribe
 United We Danc
 Trick or Treat
Surf's Up
 Tennis Ace
 Penguin Push
 Stan Skates
 Mission Mars
 CannonBlast
 Canyon Glide
 Cherie 'Disco'
 Cube Buster
 Cable Cape
 Bug On A W
 3 Foot Ninja
 Alien Attack
 Alphattack
 Dancing Blair
 Dancing Bush
