 Neuromarketing For Dummies," by Stephen J. Genco, Andrew P. Pohlmann, Peter Steidl"," July 2013 ,", Paperback,(E-book also available), Buy, CDN $27.99
 Getting Started with Electronics: Build Electronic Circuits!, by Cathleen Shamieh," August 2016 ,", Paperback,, Buy, CDN $9.99
" Marketing For Dummies, 5th Edition", by Consumer Dummies," May 2017 ,", Paperback,, Buy, CDN $31.99
" Computers For Seniors For Dummies, 4th Edition", by Nancy C. Muir," October 2015 ,", Paperback,(E-book also available), Buy, CDN $29.99
" Neuro-linguistic Programming For Dummies, 3rd Edition"," by Romilla Ready, Kate Burton"," December 2015 ,", Paperback,(E-book also available), Buy, CDN $25.99
 Direct Selling For Dummies, by Belinda Ellsworth," October 2015 ,", Paperback,(E-book also available), Buy, CDN $29.99
 JavaScript For Kids For Dummies," by Chris Minnick, Eva Holland"," August 2015 ,", Paperback,(E-book also available), Buy, CDN $29.99
" Laptops For Seniors For Dummies, 4th Edition", by Nancy C. Muir," November 2015 ,", Paperback,(E-book also available), Buy, CDN $29.99
" Secrets and Lies: Digital Security in a Networked World, 15th Anniversary Edition", by Bruce Schneier," March 2015 ,", Hardcover,, Buy, CDN $36.00
" Starting an Online Business For Dummies, 7th Edition", by Greg Holden," July 2013 ,", Paperback,(E-book also available), Buy, CDN $29.99
" Hudl For Dummies, Portable Edition", by Rosemary Hattersley," May 2014 ,", Paperback,(E-book also available), Buy, CDN $29.99
 Teach Yourself VISUALLY Fire Tablets, by Elaine Marmel," November 2014 ,", Paperback,, Buy, CDN $29.99
 Fire Tablets For Dummies, by Nancy C. Muir," December 2014 ,", Paperback,(E-book also available), Buy, CDN $23.99
" The New ebay: The Official Guide to Buying, Selling, Running a Profitable Business", by Todd Alexander," July 2013 ,", Paperback,(E-book also available), Buy, CDN $29.95
 Love Online, by Jean-Claude Kaufmann," February 2012 ,", Paperback,, Buy, CDN $21.95
 Love Online, by Jean-Claude Kaufmann," February 2012 ,", Hardcover,, Buy, CDN $65.95
" Starting an Etsy Business For Dummies, 2nd Edition"," by Kate Gatski, Kate Shoup"," August 2013 ,", Paperback,(E-book also available), Buy, CDN $23.99
 Professional NFC Application Development for Android," by Vedat Coskun, Kerem Ok, Busra Ozdenizci"," April 2013 ,", Paperback,(E-book also available), Buy, CDN $53.99
 Design Thinking for Strategic Innovation: What They Can't Teach You at Business or Design School, by Idris Mootee," August 2013 ,", Hardcover,(E-book also available), Buy, CDN $42.00
 Digital Media and Society: An Introduction, by Adrian Athique," August 2013 ,", Paperback,(E-book also available), Buy, CDN $26.95
