J Dilla,,,,,
Baz Luhrmann,,,,,
Luis Bacalov,,,,,
Laura Branigan,,,,,
"The Prismatic Flute: Dramatic Chamber Works By Lou Harrison, Gordon Mumma, & David Cope",Leta Miller &,The Ensemble Nova *,,,
Milva Dramatic Recital '92 - Canzoni Tra Le Due Guerre,Milva,,,,
Gregory Abbott,,,,,
Elijah's Mantle,,,,,
King Arthur,Purcell * - ,"William Christie ,",Les Arts Florissants,,
Jacek Koman,,,,,
Walter Clissen,,,,,
Mann Holiner,,,,,
Barbara Bryne,,,,,
Christopher Martin (3),,,,,
???SKA~!? Dramatic Ska,Various,,,,
Milva Dramatic Recital '92 - Canzoni Tra Le Due Guerre,Milva,,,,
Somei Satoh,,,,,
Milva Dramatic Recital '92 - Canzoni Tra Le Due Guerre,Milva,,,,
Ravermeister Vol. 3,Various,,,,
Heinz-Klaus Metzger,,,,,
Ravermeister Vol. 3,Various,,,,
Arthur Siegel,,,,,
Corina Chiriac,,,,,
A Fine Frenzy,,,,,
Antón García Abril,,,,,
The Orchard,Ra Ra Riot,,,,
Jesper Kyd,,,,,
Mr. Bach Comes To Call,"Bach *, ","Studio Arts Orchestra ,",The Toronto Boys' Choir *,,
Kazeria,,,,,
Ji?í Reinberger,,,,,
Romeo And Juliet,Berlioz * • ,Tchaikovsky * • ,Prokofiev * • ,San Francisco Symphony Orchestra * • ,Seiji Ozawa
Intolitarian,,,,,
Milva Dramatic Recital '92 - Canzoni Tra Le Due Guerre,Milva,,,,
Monica Vitti,,,,,
Voices For The Arts (Richard Baker Introduces The History Of The Cambridge Arts Theatre),Richard Baker (7),,,,
"Anders ""Balsam"" Hellström",,,,,
Nikola Pejakovi?,,,,,
Romeo And Juliet,Berlioz * • ,Tchaikovsky * • ,Prokofiev * • ,San Francisco Symphony Orchestra * • ,Seiji Ozawa
Nicolae Meicu,,,,,
Sérgio Barroso,,,,,
Aleksandar Ran?elovi?,,,,,
Constantin Bobescu,,,,,
Lars Hansen (2),,,,,
The Amber Sea,Myrmyr,,,,
Coconino - Visions - Kokoro - Ariadne's Thread - Focus A Beam,Roger Reynolds  - ,Arditti String Quartet *,,,
Grain: A Compilation Of 99 Short Tracks,Various,,,,
Jane Duboc,,,,,
Suspense,Kinothek Percussion Ensemble,,,,
Light Of Life Group,,,,,
Adventure,Kinothek Percussion Ensemble,,,,
