Reviews |, 31 January 2017,,Physical inactivity: a risk factor and target for intervention in renal care,"Regular physical activity is associated with an... ...chronic kidney disease (CKD). Physical activity, cardiorespiratory fitness, and... ...combined effects of uraemia and physical inactivity drive the loss of... muscle mass. Regular physical activity benefits cardiometabolic, neuromuscular...physical","Dorien M. Zelle, ",Gerald Klaassen,[…],Gerjan Navis,Nature Reviews Nephrology,,Rights & permissions
Research | , 04 January 2017,Open,Association of regular physical activity with total and cause-specific mortality among middle-aged and older Chinese: a prospective cohort study,"Association between physical activity and mortality has rarely... ...the most appropriate amount of physical activity for longevity benefits remains... ...dose-response relationships between regular physical activity and mortality risks by... ...engage in regular physical activity, those...","Yun Zhou,",Runbo Zhang,[…],Weihong Chen,Scientific Reports,"7, 39939",Rights & permissions
Reviews |, 12 January 2017,Open,From the bench to exploration medicine: NASA life sciences translational research for human exploration and habitation missions,,Joshua S. Alwood,", April E. Ronca",[…],Thomas J. Goodwin,npj Microgravity ,"3, 5",Rights & permissions
Reviews |, 13 January 2017,Open,Building logical qubits in a superconducting quantum computing system,"...lecture (Feynman, Engineering and Science 23, 22 (1960))...",Jay M. Gambetta,", Jerry M. Chow ",,& Matthias Steffen,npj Quantum Information ,"3, 2",Rights & permissions
Reviews |, 10 January 2017,,Should social science be more solution-oriented?,"...the past 100 years, social science has generated a tremendous number... ...recent advances in ‘computational social science’. In this Perspective,... ...an historical emphasis in social science on the advancement of theories... ...that one way for social science to make progress is to...",Duncan J. Watts,,,,Nature Human Behaviour ,"1, 0015",Rights & permissions
Reviews |, 01 February 2017,,Proximate causes for diet-induced obesity in laboratory mice: a case study,"...), body temperature and spontaneous physical activity behavior were first assessed... ...not due to increased spontaneous physical activity. A significant strain...","C Kless, N Rink",M Klingenspor,[…],,European Journal of Clinical Nutrition,,Rights & permissions
Research | , 13 January 2017,,Burden of care in primary caregivers of individuals with spinal cord injury in Iran: its association with sociodemographic factors,"...Center, Tehran University of Medical Sciences, Tehran, Iran. Methods:...",Z Khazaeipour,", F Rezaei-Motlagh",[…],A Salehi-Nejad,Spinal Cord,,Rights & permissions
Research | , 25 January 2017,,The effect of l-arginine supplementation on body composition and performance in male athletes: a double-blinded randomized clinical trial,"...after adjustment of baseline values, physical activity and usual dietary intake...",N Pahlavani,", M H Entezari",[…],O Sadeghi,European Journal of Clinical Nutrition,,Rights & permissions
Research | , 11 January 2017,Open,Physical controllability of complex networks,A challenging problem in network science is to control complex networks... ...drivers. Here we develop a physical controllability framework based on the... ...and control cost to achieve physical control.,Le-Zhi Wang,", Yu-Zhong Chen",[…],Ying-Cheng Lai,Scientific Reports ,"7, 40198",Rights & permissions
Research | , 03 January 2017,Open,Positive association between physical activity and PER3 expression in older adults,...regulates many physiological functions including physical activity and feeding patterns.... ...to investigate the relationship between physical/feeding activity and expression of... ...correlated with moderate and vigorous physical activity (r?=?0.... ...the amount of daily physical activity...,Masaki Takahashi,", Atsushi Haraguchi",[…],Shigenobu Shibata,Scientific Reports ,"7, 39771",Rights & permissions
