 Journal, Journal of Combinatorial Designs,,"2017 ,", Journal,, , , 
 , So You Want to Start a Hedge Fund: Lessons for Managers and Allocators, by Ted Seides," February 2016 ,", Hardcover,(E-book also available), , Buy, CDN $41.95
 ," Basic Math & Pre-Algebra Workbook FD 3E w OP, 3rd Edition", by Mark Zegarelli," April 2017 ,", Paperback,, , Buy, CDN $23.99
 , Proportionate-type Normalized Least Mean Square Algorithms," by Kevin Wagner, Milos Doroslovacki"," July 2013 ,", Hardcover,(E-book also available), , Buy, CDN $120.95
 , Statistical Tools for the Comprehensive Practice of Industrial Hygiene and Environmental Health Sciences, by David L. Johnson," January 2017 ,", Hardcover,(E-book also available), , Buy, CDN $132.00
 , The End of Representative Politics, by Simon Tormey," April 2015 ,", Paperback,(E-book also available), , Buy, CDN $26.95
 , The End of Representative Politics, by Simon Tormey," April 2015 ,", Hardcover,(E-book also available), , Buy, CDN $76.95
 ," Basic Math and Pre-Algebra Workbook For Dummies, 2nd Edition", by Mark Zegarelli," March 2014 ,", Paperback,(E-book also available), , Buy, CDN $23.99
 ," Nonlinear System Identification: NARMAX Methods in the Time, Frequency, and Spatio-Temporal Domains", by Stephen A. Billings," September 2013 ,", Hardcover,(E-book also available), , Buy, CDN $186.00
 Textbook," Disaster Response and Recovery: Strategies and Tactics for Resilience, 2nd Edition", by David A. McEntire," December 2014,  ©2015 ,", Paperback,(E-book also available), Visit the Companion Sites, Buy, CDN $76.95
 , China's Super Consumers: What 1 Billion Customers Want and How to Sell it to Them," by Savio Chan, Michael Zakkour"," September 2014 ,", Hardcover,(E-book also available), , Buy, CDN $30.00
 ," Medical and Dental Space Planning: A Comprehensive Guide to Design, Equipment, and Clinical Procedures, 4th Edition", by Jain Malkin," June 2014 ,", Hardcover,(E-book also available), , Buy, CDN $259.00
 E-book," Small Animal ECGs: An Introductory Guide, 2nd Edition", by Mike Martin," May 2013 ,", E-book,, , , 
 ," Startup CEO: A Field Guide to Scaling Up Your Business, + Website", by Matt Blumberg," August 2013 ,", Hardcover,(E-book also available), , Buy, CDN $35.95
 , The Art of Value Investing: How the World's Best Investors Beat the Market," by John Heins, Whitney Tilson"," April 2013 ,", Hardcover,, , Buy, CDN $54.00
 , Celebrate 100: Centenarian Secrets to Success in Business and Life," by Steve Franklin, Lynn Peters Adler"," June 2013 ,", Hardcover,(E-book also available), , Buy, CDN $31.95
 ," Decide: Work Smarter, Reduce Your Stress, and Lead by Example", by Steve McClatchy," January 2014 ,", Hardcover,(E-book also available), , Buy, CDN $28.00
 ," Square Foot and UNIFORMAT Assemblies Estimating, 3rd Edition", by RSMeans," August 2001 ,", Paperback,, , , 
 , Squares and More Squares: A Download from 50 Ways to Teach Your Learner, by Edwin W. Rose," April 2004 ,", Digital Content,, , Buy, CDN $10.99
 , Perfect Square: A Download from All Together Now!, by Lorraine L. Ukens," May 2003 ,", Digital Content,, , Buy, CDN $10.99
