" A law academy, a star chef in a soup",,"Written by Shaju Philip | Updated: February 6, 2017 at 12:28 am"," Over the past 26 days, students at the Kerala Law Academy have been demanding the ouster of Principal Lakshmi Nair, also a celebrity chef, accusing her of discrimination.", , , , 
" Grey’s Anatomy stars recreate Beyoncé pregnancy photo, and it has Internet in splits",,"By: Trends Desk | Kolkata | Updated: February 5, 2017 at 4:43 pm"," Because who doesn’t like Queen Bey, and to be pregnant at the same time with her, it’s ecstatic!", , , , 
 TMC again walks out from Rajya Sabha over Sudip Bandhyopadhyay arrest,,"By: Express News Service | New Delhi | Updated: February 4, 2017 at 2:45 am"," TMC leader Derek O’Brien said his party does not want to disturb the House by trooping into the Well but in protest of the “illegal” arrest, “we are walking out”.", , , , 
 The hell with it,"Written by Editorial | Updated: February 4, 2017 at 12:05 am",, That was only the least startling Trumpism at the National Prayer Breakfast, , , , 
 Sapna Bhavnani at LFW S/R 2017: Talking about gang rape biggest thing I’ve done,,"By: IANS | Mumbai | Updated: February 3, 2017 at 7:02 pm", Sapna Bhavnani walked the ramp at the Lakme Fashion Week Summer/Resort 2017 here for #Tagfree., , , , 
 Ajith’s six-pack abs in Vivegam impress Shah Rukh Khan. Here’s what SRK said,,"By: Express Web Desk | Bengaluru | Updated: February 3, 2017 at 11:15 am"," The latest to react to Ajith’s sculpted torso in Vivegam, which was revealed in the first look poster that took the internet by storm on Thursday, is Shah Rukh Khan.", Read more:, Shah Rukh Khan, , 
" Mumbai: Two pvt detectives held for snooping on call records, selling details to clients",,"Written by Mohamed Thaver | Mumbai | Updated: February 3, 2017 at 3:52 am", Police launched a probe after coming across advertisements on the internet promising to provide CDRs of any number, , , , 
" Sunny Leone, Govinda, Salim-Sulaiman to attend Super Fight League this weekend",,"By: Express Web Desk | New Delhi | Updated: February 2, 2017 at 7:51 pm"," Sunny Leone, Govinda and music duo Salim-Sulaiman will be present at the Super Fight League, the world’s leading mixed martial arts.", Read more:," Govinda ,"," Salim-Sulaiman ,", Sunny Leone
 Is Bigg Boss 10 winner Manveer Gurjar married? Here’s what he has to say,,"By: Express Web Desk | New Delhi | Updated: February 2, 2017 at 7:28 pm", Is Bigg Boss 10 winner Manveer Gurjar married? He says he had forgotten about so many relationships in the Bigg Boss house that he would have to recall everything., , , , 
 This Black woman wrote a heartfelt open letter on facing racism as a Bollywood fan,,"By: Trends Desk | New Delhi | Updated: February 2, 2017 at 5:51 pm"," “If I decided to write an open letter today, it is to point out the challenges in being a Bollywood fan of another ethnicity,” writes Fabienne Menoud.", , , , 
" Facebook has nearly 1.9 billion monthly users, and video is its big focus",,"Written by Shruti Dhapola | Updated: February 2, 2017 at 2:13 pm"," Facebook has close to 1.9 billion monthly active users, and videos will be the next big focus for the company", Read more:," Facebook ,", instagram, 
 Bigg Boss 10 makers knew Manveer Gurjar was married? Bigg Boss contestants reveal shocking truths,,"Written by Priyanka Sharma | New Delhi | Updated: February 2, 2017 at 10:15 am"," When indianexpress.com got in touch with a few Bigg Boss 10 contestants who, on the condition of anonymity, spill the beans on Manveer’s personal life and made some revelations about the popular reality show.", , , , 
 Iulia Vantur to be showstopper at Lakme Fashion Week,,"By: IANS | Mumbai | Updated: February 1, 2017 at 8:14 pm", Romanian TV presenter Iulia Vantur is set to walk as showstopper for brand Splash’s latest line., , , , 
 Kerala college principal sacked,,"By: Express News Service | Thiruvananthapuram | Updated: February 1, 2017 at 3:51 am"," The decision was taken after the academy management held discussions with SFI, the students’ wing of ruling CPM.", , , , 
 Soha Ali Khan’s writing debut to talk about being ‘moderately famous’,,"By: IANS | New Delhi | Updated: January 31, 2017 at 10:30 pm"," The bulk of the book, Soha said, was about her and her life.", , , , 
