 Editorial: A Science Paper Is..., , Download PDF, , , , Cite this Item, , Floyd E. Bloom, , ,"Science, New Series, Vol. 271, No. 5246 (Jan. 12, 1996), p. 127", [Journal], , , , , , , , , 
 Natural Gas and Science Paper, , Download PDF, , , , Cite this Item, ,"Barbara D. Hays, Walden P. Pratt, James M. Price", ,,"Science, New Series, Vol. 196, No. 4285 (Apr. 1, 1977), p. 10 ", [Journal], ,, , , , , , , 
 Astronomical Science with Adaptive Optics at the W. M. Keck Observatory, , , , , , Download PDF, FREE, Peter Wizinowich, , Add to My Lists,"Publications of the Astronomical Society of the Pacific, Vol. 125, No. 929 (July 2013), pp. 798-808", [Journal], Cite this Item,...other observatories; the few papers that contained both Keck NGS and LGS data were counted as LGS. When comparing to other Keck instruments or other LGS AO systems a paper that used data from multiple systems is divided between the systems as equal fractions. A brief summary of the science..., , ,,,,,
 Of Publishable Quality: Ideas for Political Science Seminar Papers, , Download PDF, , , , Cite this Item, , L. J. Zigerell, , ,"PS: Political Science and Politics, Vol. 44, No. 3 (July 2011), pp. 629-633 ", [Journal], , , , , , , , , 
 ART AND SCIENCE IN PAPER MANUFACTURE, , Download PDF, , , , Cite this Item, , Julius Grant, , ," Journal of the Royal Society of Arts, Vol. 89, No. 4586 (MAY 2nd, 1941), pp. 350-363 ", [Journal], , , , , , , , , 
 Osaka University Researchers Reject Demand to Retract Science Paper, , Download PDF, , , , Cite this Item, , Dennis Normile, , ,"Science, New Series, Vol. 316, No. 5832 (Jun. 22, 2007), p. 1681", [Journal], , , , , , , , , 
 The Origin of Gravitational Lensing: A Postscript to Einstein's 1936 Science Paper, , Download PDF, , , , Cite this Item, ,"Jurgen Renn, Tilman Sauer, John Stachel", ,,"Science, New Series, Vol. 275, No. 5297 (Jan. 10, 1997), pp. 184-186", [Journal], ,, , , , , , , 
 Peace Research and Science. A Discussion Paper, , Download PDF, , , , Cite this Item, , Tord HÃ¸ivik, , ,"Journal of Peace Research, Vol. 20, No. 3 (Sep., 1983), pp. 261-270", [Journal], , , , , , , , , 
 Science Retracts Discredited Paper; Bitter Patent Dispute Continues, , Download PDF, , , , Cite this Item, , Dennis Normile, , ,"Science, New Series, Vol. 324, No. 5926 (Apr. 24, 2009), pp. 450-451", [Journal], , , , , , , , , 
 Design science in IS research:a literature analysis, (pp. 285-304), Download PDF, , From:, Information Systems Foundations: The Role of Design Science, Cite this Item, ,"MARTA INDULSKA, JAN RECKER",ANU Press (2010) , , , [Chapter], , , , , , , , , 
 K-12 SCIENCE DESIGN: Working Papers in a Science Curriculum, , Download PDF, , , , Cite this Item, , J. PAUL TAYLOR, , ,"The Science Teacher, Vol. 31, No. 2 (MARCH 1964), pp. 29-31", [Journal], , , , , , , , , 
 Back Matter, , Download PDF, , , , Cite this Item, , , , ,"Philosophical Transactions: Biological Sciences, Vol. 351, No. 1342 (Jul. 29, 1996)", [Journal], , , , , , , , , 
 Back Matter, , Download PDF, , , , Cite this Item, , , , ,"Proceedings of the National Academy of Sciences of the United States of America, Vol. 111, No. 12 (March 25, 2014) ", [Journal], , , , , , , , , 
" A Biometrics Invited Paper. Science, Statistics, and Paired Comparisons", , Download PDF, , , , Cite this Item, , Ralph A. Bradley, , ,"Biometrics, Vol. 32, No. 2 (Jun., 1976), pp. 213-239", [Journal], , , , , , , , , 
 Teaching the Processes of Science: A Research Paper-Laboratory Technique, , Download PDF, , , , Cite this Item, ,"R. J. Stevens, E. Jeveli", , ,"The American Biology Teacher, Vol. 37, No. 3 (Mar., 1975), pp. 158-161+170", [Journal], , , , , , , , , 
 Philological and Epistemological Remarks on Enochâ€™s Science:Response to Papers by Seth L. Sanders and James VanderKam, , Download PDF, (pp. 103-108), From:, Ancient Jewish Sciences and the History of Knowledge in Second Temple Literature, Cite this Item, , Loren T. Stuckenbruck,NYU Press (2014) , , , [Chapter], , , , , , , , , 
 Science 2.0: Paper Slide Videos, , Download PDF, , , , Cite this Item, ,"Eric Brunsell, Martin Horejsi", , ,"The Science Teacher, Vol. 80, No. 4, Science for All (April/May 2013), p. 8 ", [Journal], , , , , , , , , 
 Multiple Author Trend Worst In Medicine, , Download PDF, , , , Cite this Item, ,"Joseph L. Onwude, Anthony Staines, Richard J. Lilford", ,,"BMJ: British Medical Journal, Vol. 306, No. 6888 (May 15, 1993), p. 1345", [Journal], ,, , , , , , , 
