Safety Zone, (Dp Dough),"Serving Size: 1/2 calzone, Calories: 344, Fat: 14g, Carbs: 51g, Protein: 14g"
Diet Sugar ,(Safety Sweet),"Serving Size: 1 sachet, Calories: 4, Fat: 0g, Carbs: 0g, Protein: 0.2g"
performance safety eyewear,(3M),"Serving Size: 1 piece, Calories: 0, Fat: 0g, Carbs: 0g, Protein: 0g"
Safety Dance,(Smartmouth),"Serving Size: 12 oz, Calories: 159, Fat: 0g, Carbs: 0g, Protein: 0g"
Safety Cone,(Ucla Deneve),"Serving Size: 1 each, Calories: 50, Fat: 0.8g, Carbs: 9.5g, Protein: 1g"
pasta, (safety misr),"Serving Size: 70 grams, Calories: 250, Fat: 0.7g, Carbs: 48g, Protein: 13.8g"
Meal Replacement,(Safety Slim),"Serving Size: 1 packet (40g), Calories: 110, Fat: 1g, Carbs: 14g, Protein: 1g"
Diet Sugar,(Safety Sweet .safety Misr) ,"Serving Size: 1 sachet, Calories: 4, Fat: 0g, Carbs: 0g, Protein: 0.2g"
High Protein Rice ,(Safety Misr),"Serving Size: 1/2 cup cooked, Calories: 363, Fat: 3.7g, Carbs: 62.7g, Protein: 19.8g"
Noodels ,(Safety Misr),"Serving Size: 70 gram dry, Calories: 250, Fat: 0.7g, Carbs: 48g, Protein: 13.8g"
Safety matches,(Happy shopper),"Serving Size: 1 cup, Calories: 3, Fat: 0.1g, Carbs: 0.2g, Protein: 0.1g"
Diet Sugar,(Safety Fructose) ,"Serving Size: 1 tea spoon, Calories: 16, Fat: 0g, Carbs: 0g, Protein: 0g"
High Protein Pasta, (Safety Misr),"Serving Size: 70 gm, Calories: 250, Fat: 0.7g, Carbs: 48g, Protein: 13.8g"
Hard Candies,(Northern Safety & Industrial),"Serving Size: 3 pieces, Calories: 70, Fat: 0g, Carbs: 17g, Protein: 0g"
macaroni ,(safety misr),"Serving Size: 70 grams, Calories: 250, Fat: 0.7g, Carbs: 48g, Protein: 13.8g"
power milk ,(safety),"Serving Size: 100 gram, Calories: 511, Fat: 28.5g, Carbs: 39g, Protein: 24.5g"
fructose, (safety misr),"Serving Size: 4 grams, Calories: 16, Fat: 0g, Carbs: 0g, Protein: 0g"
fructose sweetnee,(safety fructose),"Serving Size: 1 ts, Calories: 16, Fat: 0g, Carbs: 0g, Protein: 0g"
orange jam ,(Safety masr),"Serving Size: 100 gram, Calories: 189, Fat: 0g, Carbs: 0g, Protein: 0g"
apricot concentrate,(Safety),"Serving Size: 100 ml, Calories: 64, Fat: 0g, Carbs: 16.1g, Protein: 0.4g"
