 Europa Universalis IV: Common Sense Ebook, $1.99 usd, , Redeem for Windows, Redeem for Mac, Redeem for Linux
 The Art of Moon Hunters eBook, $9.99 usd, , , , 
 Atelier Sophie: The Alchemist of the Mysterious Book, $29.99 usd, New, Redeem for Windows, , 
 The Book of Unwritten Tales 2 Almanac Edition Upgrade, $10.00 usd, , Redeem for Windows, Redeem for Mac, Redeem for Linux
 The Book of Unwritten Tales: The Critter Chronicles, $19.99 usd, , Redeem for Windows, Redeem for Mac, Redeem for Linux
 The Book of Unwritten Tales, $19.99 usd, , Redeem for Windows, Redeem for Mac, Redeem for Linux
 The Book of Unwritten Tales Digital Deluxe, $24.99 usd, , Redeem for Windows, Redeem for Mac, Redeem for Linux
 The Book of Unwritten Tales The Critter Chronicles: Collectors Edition, $24.99 usd, , Redeem for Windows, Redeem for Mac, Redeem for Linux
 The Book of Unwritten Tales 2, $29.99 usd, , Redeem for Windows, Redeem for Mac, Redeem for Linux
 The Book of Legends, $14.99 usd, , Download for Windows, Redeem for Windows, 
Samorost 3 Soundtrack + Art Book, $6.99 usd,,,,
 The Book of Unwritten Tales Collection, $69.99 usd, , Redeem for Windows, Redeem for Mac, Redeem for Linux
The Book of Unwritten Tales 2 Almanac Edition,$34.99 usd,,,,
 Book of Demons, $19.99 usd, Early Access, Redeem for Windows, , 
