Genesis 17:12,,"For the generations to come every male among you who is eight days old  must be circumcised, including those born in your household or bought  with money from a foreigner—those who are not your offspring.",,In Context | Full Chapter | Other Translations
Genesis 17:13,,"Whether born in your household or bought with your money , they must be circumcised. My covenant in your flesh is to be an everlasting covenant.",,In Context | Full Chapter | Other Translations
Genesis 17:23,,"On that very day Abraham took his son Ishmael and all those born in his household or bought with his money , every male in his household, and circumcised them, as God told him.",,In Context | Full Chapter | Other Translations
Genesis 42:35,,"As they were emptying their sacks, there in each man’s sack was his pouch of silver! When they and their father saw the money pouches, they were frightened.",,In Context | Full Chapter | Other Translations
Genesis 47:14,,"Joseph collected all the money that was to be found in Egypt and Canaan in payment for the grain they were buying, and he brought it to Pharaoh’s palace.",,In Context | Full Chapter | Other Translations
Genesis 47:15,,"When the money of the people of Egypt and Canaan was gone, all  Egypt came to Joseph and said, “Give us food. Why should we die before  your eyes? Our money is all gone.”",,In Context | Full Chapter | Other Translations
Genesis 47:16,,"“Then bring your livestock,” said Joseph. “I will sell you food in exchange for your livestock, since your money is gone.”",,In Context | Full Chapter | Other Translations
Genesis 47:18,,"When that year was over, they came to him the following year and said, “We cannot hide from our lord the fact that since our money is gone and our livestock belongs to you, there is nothing left for our lord except our bodies and our land.",,In Context | Full Chapter | Other Translations
Exodus 21:11,,"If he does not provide her with these three things, she is to go free, without any payment of money .",,In Context | Full Chapter | Other Translations
Exodus 21:35,,"“If anyone’s bull injures someone else’s bull and it dies, the two parties are to sell the live one and divide both the money and the dead animal equally.",,In Context | Full Chapter | Other Translations
Exodus 22:15,,"But if the owner is with the animal, the borrower will not have to pay. If the animal was hired, the money paid for the hire covers the loss.",,In Context | Full Chapter | Other Translations
Exodus 22:25,,"“If you lend money to one of my people among you who is needy, do not treat it like a business deal; charge no interest.",,In Context | Full Chapter | Other Translations
Exodus 30:11,Atonement Money,"Then the Lord said to Moses,",,In Context | Full Chapter | Other Translations
Exodus 30:16,,"Receive the atonement money from the Israelites and use it for the service of the tent of meeting. It will be a memorial for the Israelites before the Lord, making atonement for your lives.�",,In Context | Full Chapter | Other Translations
Leviticus 22:11,,"But if a priest buys a slave with money , or if slaves are born in his household, they may eat his food.",,In Context | Full Chapter | Other Translations
Leviticus 25:37,,You must not lend them money at interest or sell them food at a profit.,,In Context | Full Chapter | Other Translations
Numbers 3:48,,Give the money for the redemption of the additional Israelites to Aaron and his sons.”,,In Context | Full Chapter | Other Translations
Numbers 3:49,,So Moses collected the redemption money from those who exceeded the number redeemed by the Levites.,,In Context | Full Chapter | Other Translations
Numbers 3:51,,"Moses gave the redemption money to Aaron and his sons, as he was commanded by the word of the Lord.",,In Context | Full Chapter | Other Translations
Deuteronomy 18:8,,"He is to share equally in their benefits, even though he has received money from the sale of family possessions.",,In Context | Full Chapter | Other Translations
Deuteronomy 23:19,,"Do not charge a fellow Israelite interest, whether on money or food or anything else that may earn interest.",,In Context | Full Chapter | Other Translations
2 Kings 5:26,,"But Elisha said to him, “Was not my spirit with you when the man got  down from his chariot to meet you? Is this the time to take money or to accept clothes—or olive groves and vineyards, or flocks and herds, or male and female slaves?",,In Context | Full Chapter | Other Translations
2 Kings 12:4,,"Joash said to the priests, �Collect all the money that is brought as sacred offerings to the temple of the Lord�the money collected in the census, the money received from personal vows and the money brought voluntarily to the temple.",,In Context | Full Chapter | Other Translations
2 Kings 12:5,,"Let every priest receive the money from one of the treasurers, then use it to repair whatever damage is found in the temple.”",,In Context | Full Chapter | Other Translations
2 Kings 12:7,,"Therefore King Joash summoned Jehoiada the priest and the other priests  and asked them, “Why aren’t you repairing the damage done to the temple?  Take no more money from your treasurers, but hand it over for repairing the temple.”",,In Context | Full Chapter | Other Translations
