 Urban Inn Kulim, Very good,7.9, ,136, reviews," Kulim, Alor Setar", (3.86 km from Chinese Recreation Club), FREE, Wi-Fi, , , Nightly rates as low as, CA$,19,70, Free cancellation," Book now, pay later", , Our last 2 rooms
 Fuller Hotel Kulim, Very good,8, ,12, reviews," Kulim, Alor Setar", (0.68 km from Chinese Recreation Club), FREE, Wi-Fi, , 1 traveler is considering this property right now, Nightly rates as low as, CA$,24,32, Free cancellation," Book now, pay later", , 
 Hotel Seri Malaysia Kulim, Good,6.5, Breakfast included,175, reviews," Kulim, Alor Setar", (0.27 km from Chinese Recreation Club), FREE, Wi-Fi, Breakfast, , Nightly rates as low as, CA$, ,42, , , , Our last 2 rooms
 U Design Hotel Bukit Mertajam, Very good,7.2, ,57, reviews," Bukit Mertajam, Penang", (10.58 km from Chinese Recreation Club), FREE, Wi-Fi, , , Nightly rates as low as, CA$,27,59, Free cancellation," Book now, pay later", , Our last room!
 E-Red Hotel Alma Cosmo, Very good,7.1, ,174, reviews," Bukit Mertajam, Penang", (9.72 km from Chinese Recreation Club), FREE, Wi-Fi, , 6 travelers are considering this property right now, Nightly rates as low as, CA$, ,23, Free cancellation," Book now, pay later", , Our last 5 rooms
" Tune Hotel - Kulim, Kedah", Very good,7, ,101, reviews," Kulim, Alor Setar", (2.18 km from Chinese Recreation Club), , , , 7 travelers are considering this property right now, Nightly rates as low as, CA$, ,39, , , , 
 My Hotel Bukit Mertajam, Good,6.9, ,70, reviews," Bukit Mertajam, Penang", (10.21 km from Chinese Recreation Club), FREE, Wi-Fi, , 1 traveler is considering this property right now, Nightly rates as low as, CA$,26,59, , , , Our last 5 rooms
 Vince Villa, Very good,7, ,21, reviews," Bukit Mertajam, Penang", (9.42 km from Chinese Recreation Club), FREE, Wi-Fi, , , Nightly rates as low as, CA$,29,117, No credit card required, , , Our last 3 rooms
 Inap D'merawan, Very good,7.9, ,1, review," Kulim, Kulim", (2.62 km from Chinese Recreation Club), FREE, Wi-Fi, , , Nightly rates as low as, CA$, ,50, Free cancellation, No credit card required, Pay at the hotel, Our last room!
 Akar Lima, Exceptional,9.6, Breakfast included,1, review," Kulim, Kulim", (2.07 km from Chinese Recreation Club), FREE, Wi-Fi, Breakfast, 1 traveler is considering this property right now, Nightly rates as low as, CA$, ,18, Free cancellation, No credit card required, , Our last room!
 Z'In Hotel Kulim, Very good,8, ,16, reviews," Kulim, Alor Setar", (2.54 km from Chinese Recreation Club), FREE, Wi-Fi, , , Nightly rates as low as, CA$, ,23, Free cancellation, , , Our last 4 rooms
 Bantal Sutera Inn, , , , , ," Kulim, Alor Setar", (2.91 km from Chinese Recreation Club), FREE, Wi-Fi, , , Nightly rates as low as, CA$, ,19, Pay at the hotel, No credit card required, , Our last 2 rooms
 Village View Motel, Very good,7.3, ,56, reviews," Kulim, Alor Setar", (2.75 km from Chinese Recreation Club), FREE, Wi-Fi, , , Nightly rates as low as, CA$, ,23, Free cancellation, No credit card required, Pay at the hotel, 
 Winsons Business Inn, Acceptable,2.9, ,1, review," Bukit Mertajam, Penang", (10.16 km from Chinese Recreation Club), , , , , Nightly rates as low as, CA$, ,24, Free cancellation, , , 
 Ikhtaqwa Homestay, , , , , ," Kulim, Alor Setar", (1.12 km from Chinese Recreation Club), , , , , Nightly rates as low as, CA$, ,73, No credit card required, , , Our last room!
 Kulim Rumah Bonda, , , , , ," Kulim, Alor Setar", (2.31 km from Chinese Recreation Club), , , , , Nightly rates as low as, CA$, ,68, No credit card required, , , Our last room!
 Kw Guesthouse, Very good,7.1, ,1, review," Bukit Mertajam, Penang", (10.32 km from Chinese Recreation Club), , , , , Nightly rates as low as, CA$, ,21, Free cancellation, No credit card required, Pay at the hotel, Our last room!
