 WarFire Original Video Games Soundtrack,"3 Oct, 2016", CDN$ 2.19, , , 
 Beijing 2008™ - The Official Video Game of the Olympic Games,"14 Aug, 2008", , , , 
 Vancouver 2010™ - The Official Video Game of the Olympic Winter Games,"18 Feb, 2010", , , , 
 Mad Games Tycoon,"13 Sep, 2016", CDN$ 16.99, , , 
 Hoyle Official Casino Games,"14 Oct, 2016", CDN$ 21.99, , , 
" ""Unlocked: The World of Games, Revealed","14 Dec, 2016", 1 Season, , , 
 Monkey Tales Games,"28 Aug, 2014", CDN$ 16.99, , , 
 Angry Video Game Nerd: The Movie,"28 Apr, 2015", CDN$ 3.29, , , 
 Angry Video Game Nerd II: ASSimilation,"29 Mar, 2016", CDN$ 16.99, , , 
 Angry Video Game Nerd Adventures,"20 Sep, 2013", CDN$ 10.99, , , 
 Thank You For Playing: Iconic Video Game Magazines,"14 Mar, 2016", CDN$ 3.29, , , 
 Disney•Pixar Brave: The Video Game,"6 Oct, 2014", CDN$ 21.99, , , 
 MC Lars: The Video Game,"14 Oct, 2016", CDN$ 5.49, , , 
 LEGO® Pirates of the Caribbean: The Video Game,"6 Oct, 2014", CDN$ 21.99, , , 
 Video blogger Story,"13 Jun, 2016", CDN$ 7.79, , , 
 Disney•Pixar Cars 2: The Video Game,"6 Oct, 2014", CDN$ 21.99, , , 
 Disney•Pixar Toy Story 3: The Video Game,"6 Oct, 2014", CDN$ 21.99, , , 
 Rambo The Video Game: Baker Team,"21 Feb, 2014", , , , 
 Rocket League®,"6 Jul, 2015", CDN$ 21.99, , , 
 Grand Theft Auto V,"13 Apr, 2015", CDN$ 69.99, , , 
 Wallpaper Engine,"10 Oct, 2016", CDN$ 4.49, , , 
 The Witcher 2: Assassins of Kings Enhanced Edition,"16 Apr, 2012", ,-85%, CDN$ 21.99, CDN$ 3.29
 RPG Maker VX Ace,"10 Dec, 2012", CDN$ 77.59, , , 
 The Witcher: Enhanced Edition Director's Cut,"16 Sep, 2008", ,-85%, CDN$ 10.99, CDN$ 1.64
 Game Dev Tycoon,"29 Aug, 2013", CDN$ 10.99, , , 
