-28, Huawei - Honor 8 Dual Camera Unlocked Smartphone 32GB Pearl White - US Warranty, , ,  $ 399,0.99, (1 Offers), , , Free Shipping, Used:,$264.99, (1 Offers), Compare, ,,
-43," Honor 5X - Metal body, Fingerprint Sensor, 5.5 Inch, 1080p FHD Display, 4G LTE Unlocked GSM Smartphone - USA Warranty - 16GB Silver"," Free Honor 5X cases w/ purchase, limited offer",$199.99, $ 189,0.99, (4 Offers), Save:,5%, Free Shipping, , , , Compare, ,,
-19, Nexus 6P 64GB Matte Gold LTE Unlocked Smartphone (North America Warranty), ,$549.00, $ 499,0, (2 Offers), Save:,9%, Free Shipping, , , , Compare, ,,
-1," Coolpad Conjr 16GB 4G LTE Unlocked Smartphone, 8MP Selfie Camera with Flash, Multi-finger Unlock, Dual SIM, US Warranty 5 3GB RAM", , , $ 179,0.99, , , , Free Shipping, , , , Compare, ,,
-126, ZTE AXON 7 64GB 4G LTE Quartz Gray Dual SIM Unlocked Smartphone 5.5 4GB RAM (North America Warranty), Upgradable to Android 7.0 Nougat & Google Daydream Ready, , $ 399,0.98, , , , Free Shipping, , , , Compare, ,,
-3,"ZTE Blade V8 Pro Dual Camera Unlocked Smartphone (5.5"" Black, 32GB Storage 3GB RAM) US Warranty"," Free NAKAMICHI headphone w/ purchase, limited offer",,$ 229,0.99,, , , Free Shipping,, , , Compare,, ,
-7," LG V20 US996 64GB Unlocked Smartphone (Unlocked, Titan) US Warranty"," Free LG G-pad, Monster ROC headphone & power bank, limited offer", , $ 799,0.99, (2 Offers), , , Free Shipping, , , , Compare, ,,
 , Apple iPhone 7 PLUS 128GB 4G LTE Jet Black Unlocked Cell Phone 5.5 3GB RAM, , , $ 999,0.99, (2 Offers), , , Free Shipping, , , , Compare, ,,
-5,"Huawei - Honor 6X Unlocked Smartphone with Dual Camera (5.5"" Gold, 32GB Storage 3GB RAM) US Warranty"," Free NAKAMICHI Noise Cancellation headphones w/ purchase, limited offer", ,$ 249,0.99, (2 Offers),, , Free Shipping,, , , Compare,, ,
-6,"Huawei Mate 9 Unlocked Smartphone with Dual Leica Camera (5.9"" Space Gray, 64GB Storage 4GB RAM) US Warranty",, ,$ 599,0.99, (1 Offers),, , Free Shipping, Used:,$499.99, (1 Offers), Compare,, ,
-88,"Asus Zenfone 2 Unlocked Smart Phone, 5.5"" Silver, 64GB Storage 4GB RAM, US Warranty"," + 20% off w/ promo code 0210CLS03, ends 2/16",,$ 299,0.99,,, , Free Shipping, Student Price Available,,, Compare, ,, 
," Moto G (4th Gen.) 32GB Smartphone (Unlocked, Black) - US Warranty", , , $ 229,0.99, (3 Offers), , , Free Shipping, , , , Compare,,,
