"ëThe Romanovs will return,í man who plans to establish Russian Empire on Pacific islands tells RT"," Since the former Russian MP, adventurer, and entrepreneur Anton Bakov announced that he was reviving the Russian Empire by buying three remote Micronesian Islands, the world media has given him acres of coverage. But just how serious are Bakov‚Äôs inte", 8 Feb 2017 | 19 : 30 GMT, https://www.rt.com/news/376747-romanovs-bakov-kiribatu-empire/
Merkel to present program to speed up deportation of failed asylum seekers ñ reports," German Chancellor Angela Merkel is planning to present a new plan to accelerate the process of deporting failed asylum seekers, including special ‚Äúdeparture centers‚Äù and more financial aid for those deciding to leave voluntarily, German media reports", 8 Feb 2017 | 17 : 51 GMT, https://www.rt.com/news/376738-germany-refugees-deportation-accelerate/
Bad news for Proxima b: Red dwarf flares jeopardize ëhabitabilityí of planet (VIDEO)," The habitability of planets orbiting young red dwarf stars is threatened by frequent stellar eruptions that likely deplete atmospheric oxygen levels, according to new NASA research.", 8 Feb 2017 | 17 : 48 GMT, https://www.rt.com/viral/376736-red-dwarf-planet-habitability/
 International Biathlon Union tells Russia to give up right to host 2021 World Championship," The International Biathlon Union (IBU) has given Russia until February 24 to relinquish the right to host the IBU 2021 World Championship, planned for the Tyumen region.", 8 Feb 2017 | 16 : 53 GMT, https://www.rt.com/sport/376729-ibu-offers-russia-give-up-world-championship/
German migration agency vows to fingerprint all refugees to combat ëbenefit fraudí ," In a bid to combat ‚Äúbenefit fraud‚Äù and the use of ‚Äúcheat-identities,‚Äù Germany‚Äôs federal migration agency wants all regional outlets to fingerprint all asylum seekers, though it admits that they often lack the resources to achieve this, local media re", 8 Feb 2017 | 15 : 56 GMT, https://www.rt.com/news/376718-germany-refugee-benefits-fingerprinting/
 Post-Brexit Britain resumes Chinese charm offensive after relations falter," UK Prime Minister Theresa May will visit China later this year in an effort to reestablish relations, which have somewhat faltered since ex-PM David Cameron and his Chancellor George Osborne courted the Chinese government in 2015.", 8 Feb 2017 | 15 : 10 GMT, https://www.rt.com/uk/376713-china-brexit-theresa-may/
 US senators trying to gain veto power that could block Trump from lifting sanctions on Russia," A group of prominent US senators is leading a bipartisan effort to push through the so-called Russia Review Act, which would allow the Senate to veto any attempt of newcomer President Donald Trump to loosen sanctions on Moscow.", 8 Feb 2017 | 13 : 03 GMT, https://www.rt.com/usa/376696-senate-russia-sanctions-trump/
 S-400 air defense systems mobilized near Moscow in snap exercise, Air defense systems around Moscow were put on high alert Wednesday as part of a surprise nationwide combat readiness drill for the Russian Air Force. The Russian capital is one of the best-prepared areas of the country in terms of nuclear strike defe, 8 Feb 2017 | 12 : 44 GMT, https://www.rt.com/news/376694-moscow-air-defense-drill/
" 15,000 homeless after Philippines slum devastated by fire  (PHOTOS, VIDEOS)"," A massive blaze at an overcrowded slum in the Philippines capital of Manila, has left at least 15,000 people homeless.", 8 Feb 2017 | 12 : 00 GMT, https://www.rt.com/news/376689-manila-fire-philippines-photos/
 Large-scale German police op targets suspected Al-Nusra Front supporters," German police targeted suspected Al-Nusra Front affiliates during large-scale raids across the federal state of North Rhine-Westphalia, looking for evidence of aiding Islamist militants in Syria, according to the Federal Prosecutors‚Äô Office.", 8 Feb 2017 | 11 : 24 GMT, https://www.rt.com/news/376684-germany-raid-alnusra-supporters/
