IRS Issues Home Sale Exclusion Rules, https://www.irs.gov/uac/irs-issues-home-sale-exclusion-rules,IRS Issues Home Sale Exclusion ... Taxpayers need not allocate gain between business and residential use if the business use occurred within the same dwelling unit as …
"Publication 523 (2015), Selling Your Home", https://www.irs.gov/publications/p523/ar02.html,You have taxable gain on your home sale (or on the residential portion of your property if you made separate calculations for home and business) …
"Publication 527 (2016), Residential Rental Property", https://www.irs.gov/publications/p527/,"Publication 527 (2016), Residential Rental Property (Including Rental of Vacation Homes) For use in preparing 2016 Returns"
"Publication 527 (2016), Residential Rental Property", https://www.irs.gov/publications/p527/ch01.html,This chapter discusses the various types of rental income and expenses for a residential rental activity with no personal ... Rental of property also used as your home.
"Publication 527 (2016), Residential Rental Property", https://www.irs.gov/publications/p527/ar01.html,Publication 527 - Introductory ... Do you own a vacation home that you rent out when you or your family ... These are two common types of residential rental …
Get Credit for Making Your Home Energy-Efficient, https://www.irs.gov/uac/newsroom/get-credit-for-making-your-home-energy-efficient,"If you made your home more energy efficient last year, you may qualify for a tax credit on your 2012 federal income tax ... Residential Energy Efficient Property Credit."
Home Construction Contracts - Internal Revenue Service, https://www.irs.gov/businesses/small-businesses-self-employed/home-construction-contracts,"You do not use the rules for home construction contracts, which are contracts to build a home with four or fewer residential units."
"Publication 527 (2016), Residential Rental Property", https://www.irs.gov/publications/p527/ch02.html,"You moved from your home in July. ... Residential rental property (buildings or structures) and structural components such as furnaces, waterpipes, …"
"Publication 527 (2016), Residential Rental Property", https://www.irs.gov/publications/p527/ch05.html,"If you have any personal use of a dwelling unit (including a vacation home) that you rent, you must divide your expenses between rental use and personal …"
Tax Topics - Topic 415 Renting Residential and Vacation …, https://www.irs.gov/taxtopics/tc415.html,"Topic 415 - Renting Residential and Vacation Property. If you receive rental income for the use of a dwelling unit, such as a house or an …"
